recnum,fc_num,contact_date,sex,race,age,build,hair_style,complexion,ethnicity,otherclothing
100058932,F190041644,2019-01-09 00:00:00.0,Male,Black,14,,,,,GOLD JACKET
100058933,F190041644,2019-01-09 00:00:00.0,Male,Black,13,,,,,
100058934,F190041644,2019-01-09 00:00:00.0,Male,Black,,,,,,
100058940,F190041622,2019-01-08 02:50:00.0,Male,White,32,Thin,Short,,,"BLACK JACKET, BLUE JEANS,"
100058941,F190041625,2019-01-08 02:32:00.0,Male,Black,53,Stocky,Short,,Not of Hispanic Origin,"BLACK JACKET, BLUE JEANS, BROWN BOOTS"
100058942,F190041625,2019-01-08 02:32:00.0,Male,Black,50,Thin,Short,,Not of Hispanic Origin,"BLACK WINTER COAT, GREY SWEATPANTS, WHITE SNEAKERS, GREY WINTER HAT"
100058943,F190041627,2019-01-08 02:08:00.0,Male,White,41,Medium,Short,,Not of Hispanic Origin,"TAN JACKET, TAN SWEATSHIRT, BLUE JEAN, BLUE SNEAKERS"
100058945,F190041670,2019-01-10 17:35:00.0,Male,Black,17,,,,,"GRAY HOODIE, BLACK JACKET, BLACK SWEAT PANTS"
100058946,F190041670,2019-01-10 17:35:00.0,Male,Black,,,,,,"BLUE WINTER HAT, BEIGE JACKET, MARON PANTS"
100058969,F190041701,2019-01-11 18:45:00.0,Male,Black,24,,,,,
100058972,F190041720,2019-01-12 17:27:00.0,Male,Unknown,,,,,,
100058973,F190041720,2019-01-12 17:27:00.0,Male,Unknown,26,,,,,
100058979,F190041722,2019-01-13 12:25:00.0,Male,Black,34,Medium,,,Unknown,"GREEN HOODED SWEATSHIRT, BLUE JEANS, BROWN BOOTS, MILITARY STYLE VEST"
100058976,F190041725,2019-01-13 13:00:00.0,Male,White,21,Medium,Short,Pale,Unknown,"BOSTON RED SOX JERSEY, DARK JEANS AND WHITE SNEAKERS"
100058978,F190041666,2019-01-10 19:27:00.0,Male,Black,40,,,,,
100058994,F190041730,2019-01-13 19:50:00.0,Female,White,41,,,,,
100058995,F190041730,2019-01-13 19:50:00.0,Male,Black,52,,,,,
